"bioid","chamber","first_name","last_name","party","dw_nominate","seniority","state","state_name","district","followersCount","screen_name","user_id","platform","gender","birthday","age"
"J000290","House","Lynn","Jenkins","R",0.803,6,"KS","Kansas",2,NA,"replynnjenkins",6974973662,"facebook","F","1963-06-10",51
"J000292","House","Bill","Johnson","R",0.761,4,"OH","Ohio",6,NA,"RepBillJohnson",170477096312258,"facebook","M","1954-11-10",60
"J000293","Senate","Ron","Johnson","R",0.735,3,"WI","Wisconsin",NA,NA,"senronjohnson",186181661410703,"facebook","M","1955-04-08",59
"J000294","House","Hakeem","Jeffries","D",-0.439,2,"NY","New York",8,NA,"RepHakeemJeffries",118349138343701,"facebook","M","1970-08-04",44
"J000295","House","Dave","Joyce","R",0.508,2,"OH","Ohio",14,NA,"RepDaveJoyce",404318572981934,"facebook","M","1957-03-17",57
"J000296","House","David","Jolly","R",NA,2,"FL","Florida",13,NA,"repdavidjolly",712496765463007,"facebook","M","1972-10-31",42
"K000009","House","Marcy","Kaptur","D",-0.406,32,"OH","Ohio",9,NA,"RepresentativeMarcyKaptur",173753129419169,"facebook","F","1946-06-17",68
"K000188","House","Ron","Kind","D",-0.305,18,"WI","Wisconsin",3,NA,"repronkind",89152017954,"facebook","M","1963-03-16",51
"K000360","Senate","Mark","Kirk","R",0.303,5,"IL","Illinois",NA,NA,"SenatorKirk",116381528428230,"facebook","M","1959-09-15",55
"K000362","House","Steve","King","R",0.727,12,"IA","Iowa",4,NA,"stevekingia",134325379926458,"facebook","M","1949-05-28",65
"K000363","House","John","Kline","R",0.744,12,"MN","Minnesota",2,NA,"repjohnkline",770135879667732,"facebook","M","1947-09-06",67
"K000368","House","Ann","Kirkpatrick","D",-0.16,2,"AZ","Arizona",1,NA,"RepKirkpatrick",152493768236405,"facebook","F","1950-03-24",64
"K000375","House","Bill","Keating","D",-0.372,4,"MA","Massachusetts",9,NA,"Congressman.Keating",183092598372008,"facebook","M","1952-09-06",62
"K000376","House","Mike","Kelly","R",0.443,4,"PA","Pennsylvania",3,NA,"191056827594903",191056827594903,"facebook","M","1948-05-10",66
"K000378","House","Adam","Kinzinger","R",0.595,4,"IL","Illinois",16,NA,"RepKinzinger",187811174579106,"facebook","M","1978-02-27",36
"K000379","House","Joseph","Kennedy III","D",-0.472,2,"MA","Massachusetts",4,NA,"301936109927957",301936109927957,"facebook","M","1980-10-04",34
"K000380","House","Dan","Kildee","D",-0.401,2,"MI","Michigan",5,NA,"RepDanKildee",484166588292670,"facebook","M","1958-08-11",56
"K000381","House","Derek","Kilmer","D",-0.282,2,"WA","Washington",6,NA,"derek.kilmer",450819048314124,"facebook","M","1974-01-01",40
"K000382","House","Ann","Kuster","D",-0.309,2,"NH","New Hampshire",2,NA,"CongresswomanAnnieKuster",115543081952049,"facebook","F","1956-09-05",58
"K000384","Senate","Tim","Kaine","D",-0.313,1,"VA","Virginia",NA,NA,"SenatorKaine",482778861771212,"facebook","M","1958-02-26",56
"K000385","House","Robin","Kelly","D",-0.405,2,"IL","Illinois",2,NA,"reprobinkelly",150380975141321,"facebook","F","1956-04-30",58
"L000174","Senate","Patrick","Leahy","D",-0.451,39,"VT","Vermont",NA,NA,"SenatorPatrickLeahy",178569152181267,"facebook","M","1940-03-31",74
"L000263","House","Sander","Levin","D",-0.345,32,"MI","Michigan",9,NA,"RepSandyLevin",223726364320243,"facebook","M","1931-09-06",83
"L000287","House","John","Lewis","D",-0.56,28,"GA","Georgia",5,NA,"RepJohnLewis",82737208404,"facebook","M","1940-02-21",74
"L000397","House","Zoe","Lofgren","D",-0.424,20,"CA","California",19,NA,"zoelofgren",221191600719,"facebook","F","1947-12-21",67
"L000480","House","Nita","Lowey","D",-0.33,26,"NY","New York",17,NA,"RepLowey",158290607551599,"facebook","F","1937-07-05",77
"L000491","House","Frank","Lucas","R",0.495,22,"OK","Oklahoma",3,NA,"7872057395",7872057395,"facebook","M","1960-01-06",54
"L000551","House","Barbara","Lee","D",-0.666,18,"CA","California",13,NA,"RepBarbaraLee",92190287786,"facebook","F","1946-07-16",68
"L000554","House","Frank","LoBiondo","R",0.483,20,"NJ","New Jersey",2,NA,"FrankLoBiondo",94590050881,"facebook","M","1946-05-12",68
"L000557","House","John","Larson","D",-0.433,16,"CT","Connecticut",1,NA,"RepJohnLarson",6352928631,"facebook","M","1948-07-22",66
"L000559","House","Jim","Langevin","D",-0.365,14,"RI","Rhode Island",2,NA,"CongressmanJimLangevin",6578978441,"facebook","M","1964-04-22",50
"L000560","House","Rick","Larsen","D",-0.347,14,"WA","Washington",2,NA,"RepRickLarsen",135654683137079,"facebook","M","1965-06-15",49
"L000562","House","Stephen","Lynch","D",-0.351,14,"MA","Massachusetts",8,NA,"repstephenlynch",133720816696865,"facebook","M","1955-03-31",59
"L000563","House","Daniel","Lipinski","D",-0.226,10,"IL","Illinois",3,NA,"repdanlipinski",103286879730089,"facebook","M","1966-07-15",48
"L000564","House","Doug","Lamborn","R",0.855,8,"CO","Colorado",5,NA,"CongressmanDougLamborn",45059452286,"facebook","M","1954-05-24",60
"L000565","House","Dave","Loebsack","D",-0.291,8,"IA","Iowa",2,NA,"DaveLoebsack",291731316748,"facebook","M","1952-12-23",62
"L000566","House","Robert","Latta","R",0.706,8,"OH","Ohio",5,NA,"boblatta",255037508007011,"facebook","M","1956-04-18",58
"L000567","House","Leonard","Lance","R",0.658,6,"NJ","New Jersey",7,NA,"CongressmanLance",100830109970339,"facebook","M","1952-06-25",62
"L000569","House","Blaine","Luetkemeyer","R",0.651,6,"MO","Missouri",3,NA,"BlaineLuetkemeyer",573002239470919,"facebook","M","1952-05-07",62
"L000570","House","Ben","Lujan","D",-0.366,6,"NM","New Mexico",3,NA,"RepBenRayLujan",112962521120,"facebook","M","1972-06-07",42
"L000571","House","Cynthia","Lummis","R",0.92,6,"WY","Wyoming",1,NA,"152754318103332",152754318103332,"facebook","F","1954-09-10",60
"L000573","House","Raul","Labrador","R",0.983,4,"ID","Idaho",1,NA,"raul.r.labrador",180970951936493,"facebook","M","1967-12-08",47
"L000575","House","James","Lankford","R",0.712,4,"OK","Oklahoma",5,NA,"SenatorLankford",130873066975024,"facebook","M","1968-03-04",46
"L000576","House","Billy","Long","R",0.754,4,"MO","Missouri",7,NA,"Rep.Billy.Long",139631049438354,"facebook","M","1955-08-11",59
"L000577","Senate","Mike","Lee","R",0.994,3,"UT","Utah",NA,NA,"senatormikelee",178081365556898,"facebook","M","1971-06-04",43
"L000579","House","Alan","Lowenthal","D",-0.524,2,"CA","California",47,NA,"RepLowenthal",392631677490897,"facebook","M","1941-03-08",73
"L000580","House","Michelle","Lujan Grisham","D",-0.353,2,"NM","New Mexico",1,NA,"RepLujanGrisham",191640657646128,"facebook","F","1959-10-24",55
"M000133","House","Edward","Markey","D",-0.562,40,"MA","Massachusetts",5,NA,"EdJMarkey",6846731378,"facebook","M","1946-07-11",68
"M000303","Senate","John","McCain","R",0.407,27,"AZ","Arizona",NA,NA,"johnmccain",6425923706,"facebook","M","1936-08-29",78
"M000312","House","Jim","McGovern","D",-0.563,18,"MA","Massachusetts",2,NA,"RepJimMcGovern",148299805224565,"facebook","M","1959-11-20",55
"M000355","Senate","Mitch","McConnell","R",0.572,29,"KY","Kentucky",NA,NA,"mitchmcconnell",123994667639233,"facebook","M","1942-02-20",72
"M000404","House","Jim","McDermott","D",-0.697,26,"WA","Washington",7,NA,"CongressmanJimMcDermott",246418928093,"facebook","M","1936-12-28",78
"M000639","Senate","Robert","Menendez","D",-0.44,8,"NJ","New Jersey",NA,NA,"senatormenendez",349744811357,"facebook","M","1954-01-01",60
"M000689","House","John","Mica","R",0.687,22,"FL","Florida",7,NA,"JohnMica",101251529419,"facebook","M","1943-01-27",71
"M000702","Senate","Barbara","Mikulski","D",-0.414,27,"MD","Maryland",NA,NA,"SenatorMikulski",142890125771427,"facebook","F","1936-07-20",78
"M000934","Senate","Jerry","Moran","R",0.547,3,"KS","Kansas",NA,NA,"jerrymoran",171578807105,"facebook","M","1954-05-29",60
"M001137","House","Gregory","Meeks","D",-0.357,18,"NY","New York",5,NA,"gregorymeeksny05",617982881546611,"facebook","M","1953-09-25",61
"M001143","House","Betty","McCollum","D",-0.402,14,"MN","Minnesota",4,NA,"repbettymccollum",153386471383393,"facebook","F","1954-07-12",60
"M001144","House","Jeff","Miller","R",0.875,14,"FL","Florida",1,NA,"RepJeffMiller",66367876671,"facebook","M","1959-06-27",55
"M001150","House","Candice","Miller","R",0.677,12,"MI","Michigan",10,NA,"CongresswomanCandiceMiller",210401648605,"facebook","F","1954-05-07",60
"M001151","House","Tim","Murphy","R",0.467,12,"PA","Pennsylvania",18,NA,"reptimmurphy",105769762798552,"facebook","M","1952-09-11",62
"M001153","Senate","Lisa","Murkowski","R",0.142,13,"AK","Alaska",NA,NA,"SenLisaMurkowski",25271170290,"facebook","F","1957-05-22",57
"M001156","House","Patrick","McHenry","R",0.79,10,"NC","North Carolina",10,NA,"CongressmanMcHenry",8045519803,"facebook","M","1975-10-22",39
"M001157","House","Michael","McCaul","R",0.701,10,"TX","Texas",10,NA,"michaeltmccaul",6355254859,"facebook","M","1962-01-14",52
"M001158","House","Kenny","Marchant","R",0.932,10,"TX","Texas",24,NA,"RepKennyMarchant",6349487899,"facebook","M","1951-02-23",63
"M001159","House","Cathy","McMorris Rodgers","R",0.66,10,"WA","Washington",5,NA,"mcmorrisrodgers",321618789771,"facebook","F","1969-05-22",45
"M001160","House","Gwen","Moore","D",-0.538,10,"WI","Wisconsin",4,NA,"GwenSMoore",58864029545,"facebook","F","1951-04-18",63
"M001163","House","Doris","Matsui","D",-0.448,10,"CA","California",6,NA,"doris.matsui",282703023118,"facebook","F","1944-09-25",70
"M001165","House","Kevin","McCarthy","R",0.664,8,"CA","California",23,NA,"CongressmanKevinMcCarthy",51052893175,"facebook","M","1965-01-26",49
"M001166","House","Jerry","McNerney","D",-0.244,8,"CA","California",9,NA,"jerrymcnerney",215241308510238,"facebook","M","1951-06-18",63
"M001169","Senate","Christopher","Murphy","D",-0.589,1,"CT","Connecticut",NA,NA,"chrismurphyct",19437978960,"facebook","M","1973-08-03",41
"M001170","Senate","Claire","McCaskill","D",-0.256,7,"MO","Missouri",NA,NA,"senatormccaskill",131498087618,"facebook","F","1953-07-24",61
"M001176","Senate","Jeff","Merkley","D",-0.434,5,"OR","Oregon",NA,NA,"jeffmerkley",74374931545,"facebook","M","1956-10-24",58
"M001177","House","Tom","McClintock","R",0.999,6,"CA","California",4,NA,"81125319109",81125319109,"facebook","M","1956-07-10",58
"M001179","House","Tom","Marino","R",0.501,4,"PA","Pennsylvania",10,NA,"144408762280226",144408762280226,"facebook","M","1952-08-15",62
"M001180","House","David","McKinley","R",0.506,4,"WV","West Virginia",1,NA,"RepMcKinley",130377260362609,"facebook","M","1947-03-28",67
"M001181","House","Pat","Meehan","R",0.413,4,"PA","Pennsylvania",7,NA,"CongressmanPatrickMeehan",136000283132824,"facebook","M","1955-10-20",59
"M001182","House","Mick","Mulvaney","R",1,4,"SC","South Carolina",5,NA,"MulvaneySC5",188649667827713,"facebook","M","1967-07-21",47
"M001183","Senate","Joe","Manchin III","D",-0.111,5,"WV","West Virginia",NA,NA,"JoeManchinIII",10150135395755160,"facebook","M","1947-08-24",67
"M001184","House","Thomas","Massie","R",1,4,"KY","Kentucky",4,NA,"RepThomasMassie",452480994776070,"facebook","M","1971-01-13",43
"M001185","House","Sean","Maloney","D",-0.394,2,"NY","New York",18,NA,"RepSeanMaloney",551199354892891,"facebook","M","1966-07-30",48
"M001187","House","Mark","Meadows","R",0.814,2,"NC","North Carolina",11,NA,"Repmarkmeadows",409882952423501,"facebook","M","1959-07-28",55
"M001188","House","Grace","Meng","D",-0.367,2,"NY","New York",6,NA,"repgracemeng",195734010571362,"facebook","F","1975-10-01",39
"M001189","House","Luke","Messer","R",0.806,2,"IN","Indiana",6,NA,"RepLukeMesser",367444640018564,"facebook","M","1969-02-27",45
"M001191","House","Patrick","Murphy","D",-0.171,2,"FL","Florida",18,NA,"CongressmanPatrickMurphy",317735028342371,"facebook","M","1983-03-30",31
"N000002","House","Jerrold","Nadler","D",-0.499,24,"NY","New York",10,NA,"CongressmanNadler",78291598977,"facebook","M","1947-06-13",67
"N000015","House","Richard","Neal","D",-0.461,26,"MA","Massachusetts",1,NA,"325642654132598",325642654132598,"facebook","M","1949-02-14",65
"N000127","House","Rick","Nolan","D",-0.444,2,"MN","Minnesota",8,NA,"UsRepRickNolan",388085277945339,"facebook","M","1943-12-17",71
"N000147","House","Eleanor","Norton","D",NA,24,"DC",NA,79,NA,"CongresswomanNorton",61731840657,"facebook","F","1937-06-13",77
"N000179","House","Grace","Napolitano","D",-0.506,16,"CA","California",32,NA,"RepGraceNapolitano",163108420409412,"facebook","F","1936-12-04",78
"N000182","House","Randy","Neugebauer","R",0.847,12,"TX","Texas",19,NA,"rep.randy.neugebauer",64137294987,"facebook","M","1949-12-24",65
"N000185","House","Richard","Nugent","R",0.766,4,"FL","Florida",11,NA,"RepRichNugent",183541871674897,"facebook","M","1951-05-26",63
"O000168","House","Pete","Olson","R",0.677,6,"TX","Texas",22,NA,"20718168936",20718168936,"facebook","M","1962-12-09",52
"O000170","House","Beto","O&#x27;Rourke","D",-0.404,2,"TX","Texas",16,NA,"betoorourketx16",460776160654909,"facebook","M","1972-09-26",42
"P000034","House","Frank","Pallone","D",-0.564,28,"NJ","New Jersey",6,NA,"repfrankpallone",6517277731,"facebook","M","1951-10-30",63
"P000096","House","Bill","Pascrell Jr.","D",-0.411,18,"NJ","New Jersey",9,NA,"pascrell",303312929155,"facebook","M","1937-01-25",77
"P000197","House","Nancy","Pelosi","D",-0.407,26,"CA","California",12,NA,"NancyPelosi",86574174383,"facebook","F","1940-03-26",74
"P000373","House","Joe","Pitts","R",0.837,18,"PA","Pennsylvania",16,NA,"94156528752",94156528752,"facebook","M","1939-10-10",75
"P000449","Senate","Rob","Portman","R",0.45,3,"OH","Ohio",NA,NA,"senrobportman",45243961073,"facebook","M","1955-12-19",59
"P000588","House","Steve","Pearce","R",0.799,4,"NM","New Mexico",2,NA,"RepStevePearce",180280568662135,"facebook","M","1947-08-24",67
"P000591","House","Tom","Price","R",0.943,10,"GA","Georgia",6,NA,"reptomprice",172032960420,"facebook","M","1954-10-08",60
"P000592","House","Ted","Poe","R",0.967,10,"TX","Texas",2,NA,"106631626049851",106631626049851,"facebook","M","1948-09-10",66
"P000593","House","Ed","Perlmutter","D",-0.29,8,"CO","Colorado",7,NA,"RepPerlmutter",86174496459,"facebook","M","1953-05-01",61
"P000594","House","Erik","Paulsen","R",0.734,6,"MN","Minnesota",3,NA,"CongressmanErikPaulsen",128558293848160,"facebook","M","1965-05-14",49
"P000596","House","Pedro","Pierluisi","D",NA,6,"PR",NA,80,NA,"pedropierluisi",55139978107,"facebook","M","1959-04-26",55
"P000597","House","Chellie","Pingree","D",-0.497,6,"ME","Maine",1,NA,"ChelliePingree",91529332807,"facebook","F","1955-04-02",59
"P000598","House","Jared","Polis","D",-0.327,6,"CO","Colorado",2,NA,"jaredpolis",53481427529,"facebook","M","1975-05-12",39
"P000601","House","Steven","Palazzo","R",0.596,4,"MS","Mississippi",4,NA,"stevenpalazzo",186908658003781,"facebook","M","1970-02-21",44
"P000602","House","Mike","Pompeo","R",0.828,4,"KS","Kansas",4,NA,"CongressmanPompeo",101965369880683,"facebook","M","1963-12-30",51
"P000603","Senate","Rand","Paul","R",0.994,3,"KY","Kentucky",NA,NA,"SenatorRandPaul",161355253917286,"facebook","M","1963-01-07",51
"P000604","House","Donald","Payne Jr.","D",-0.489,4,"NJ","New Jersey",10,NA,"DonaldPayneJr",360976767343741,"facebook","M","1958-12-17",56
"P000605","House","Scott","Perry","R",0.812,2,"PA","Pennsylvania",4,NA,"Rep.ScottPerry",376801102416184,"facebook","M","1962-05-27",52
"P000606","House","Robert","Pittenger","R",0.862,2,"NC","North Carolina",9,NA,"congressmanpittenger",376142742468386,"facebook","M","1948-08-15",66
"P000607","House","Mark","Pocan","D",-0.629,2,"WI","Wisconsin",2,NA,"repmarkpocan",436881033058309,"facebook","M","1964-08-14",50
"P000608","House","Scott","Peters","D",-0.165,2,"CA","California",52,NA,"CongressmanScottPeters",449337038470352,"facebook","M","1958-06-17",56
"Q000023","House","Mike","Quigley","D",-0.344,6,"IL","Illinois",5,NA,"repmikequigley",158963645688,"facebook","M","1958-10-17",56
"R000053","House","Charles","Rangel","D",-0.408,44,"NY","New York",13,NA,"CBRangel",7390589055,"facebook","M","1930-06-11",84
"R000122","Senate","Jack","Reed","D",-0.484,17,"RI","Rhode Island",NA,NA,"SenJackReed",213866375370646,"facebook","M","1949-11-12",65
"R000146","Senate","Harry","Reid","D",-0.423,27,"NV","Nevada",NA,NA,"SenatorReid",360249323990357,"facebook","M","1939-12-02",75
"R000307","Senate","Pat","Roberts","R",0.558,17,"KS","Kansas",NA,NA,"SenPatRoberts",205694792808927,"facebook","M","1936-04-20",78
"R000395","House","Harold","Rogers","R",0.54,34,"KY","Kentucky",5,NA,"CongressmanHalRogers",6722039085,"facebook","M","1937-12-31",77
"R000435","House","Ileana","Ros-Lehtinen","R",0.488,26,"FL","Florida",27,NA,"iroslehtinen",286546974761109,"facebook","F","1952-07-15",62
"R000486","House","Lucille","Roybal-Allard","D",-0.407,22,"CA","California",40,NA,"RepRoybalAllard",139773069370563,"facebook","F","1941-06-12",73
"R000487","House","Ed","Royce","R",0.911,22,"CA","California",39,NA,"EdRoyce",6460640558,"facebook","M","1951-10-12",63
"R000515","House","Bobby","Rush","D",-0.417,22,"IL","Illinois",1,NA,"congressmanbobbyrush",230753786936538,"facebook","M","1946-11-23",68
"R000575","House","Mike","Rogers","R",0.433,14,"AL","Alabama",3,NA,"171770326187035",171770326187035,"facebook","M","1958-07-16",56
"R000576","House","C.A. Dutch","Ruppersberger","D",-0.306,12,"MD","Maryland",2,NA,"184756771570504",184756771570504,"facebook","M","1946-01-31",68
"R000577","House","Tim","Ryan","D",-0.396,12,"OH","Ohio",13,NA,"timryan",121560497865,"facebook","M","1973-07-16",41
"R000578","House","Dave","Reichert","R",0.519,10,"WA","Washington",8,NA,"repdavereichert",91504302598,"facebook","M","1950-08-29",64
"R000580","House","Peter","Roskam","R",0.681,8,"IL","Illinois",6,NA,"RepRoskam",118777661469195,"facebook","M","1961-09-13",53
"R000582","House","Phil","Roe","R",0.73,6,"TN","Tennessee",1,NA,"DrPhilRoe",130725126985966,"facebook","M","1945-07-21",69
"R000583","House","Tom","Rooney","R",0.733,6,"FL","Florida",17,NA,"reptomrooney",117697790448,"facebook","M","1970-11-21",44
"R000585","House","Tom","Reed","R",0.642,6,"NY","New York",23,NA,"RepTomReed",102449199835273,"facebook","M","1971-11-18",43
"R000586","House","Jim","Renacci","R",0.717,4,"OH","Ohio",16,NA,"repjimrenacci",187639524595278,"facebook","M","1958-12-03",56
"R000587","House","Reid","Ribble","R",0.906,4,"WI","Wisconsin",8,NA,"CongressmanReidRibble",157169920997203,"facebook","M","1956-04-05",58
"R000588","House","Cedric","Richmond","D",-0.409,4,"LA","Louisiana",2,NA,"RepRichmond",197737020257085,"facebook","M","1973-09-13",41
"R000589","House","Scott","Rigell","R",0.779,4,"VA","Virginia",2,NA,"RepScottRigell",167851429918010,"facebook","M","1960-05-28",54
"R000591","House","Martha","Roby","R",0.45,4,"AL","Alabama",2,NA,"Representative.Martha.Roby",174519582574426,"facebook","F","1976-07-27",38
"R000592","House","Todd","Rokita","R",0.843,4,"IN","Indiana",4,NA,"RepToddRokita",183180288372896,"facebook","M","1970-02-09",44
"R000593","House","Dennis","Ross","R",0.796,4,"FL","Florida",15,NA,"dennis.ross.376",469477579757018,"facebook","M","1959-10-18",55
"R000595","Senate","Marco","Rubio","R",0.617,3,"FL","Florida",NA,NA,"SenatorMarcoRubio",178910518800987,"facebook","M","1971-05-28",43
"R000597","House","Tom","Rice","R",0.797,2,"SC","South Carolina",7,NA,"reptomrice",403403083083104,"facebook","M","1957-08-04",57
"R000598","House","Keith","Rothfus","R",0.7,2,"PA","Pennsylvania",12,NA,"keithrothfus",133803223451004,"facebook","M","1962-04-25",52
"R000599","House","Raul","Ruiz","D",-0.205,2,"CA","California",36,NA,"CongressmanRaulRuizMD",245244468941114,"facebook","M","1972-08-25",42
"S000018","House","Matt","Salmon","R",0.821,2,"AZ","Arizona",5,NA,"RepMattSalmon",149561218527414,"facebook","M","1958-01-21",56
"S000030","House","Loretta","Sanchez","D",-0.377,18,"CA","California",46,NA,"LorettaSanchez",90966961167,"facebook","F","1960-01-07",54
"S000033","Senate","Bernard","Sanders","I",-0.685,7,"VT","Vermont",NA,NA,"senatorsanders",9124187907,"facebook","M","1941-09-08",73
"S000051","House","Mark","Sanford","R",0.97,2,"SC","South Carolina",1,NA,"RepSanfordSC",118387985037658,"facebook","M","1960-05-28",54
"S000148","Senate","Charles","Schumer","D",-0.423,15,"NY","New York",NA,NA,"chuckschumer",15771239406,"facebook","M","1950-11-23",64
"S000185","House","Robert","Scott","D",-0.414,22,"VA","Virginia",3,NA,"CongressmanBobbyScott",123839200978190,"facebook","M","1947-04-30",67
"S000244","House","F.","Sensenbrenner","R",1.257,36,"WI","Wisconsin",5,NA,"RepSensenbrenner",100997129276,"facebook","M","1943-06-14",71
"S000248","House","José","Serrano","D",-0.494,26,"NY","New York",15,NA,"RepJoseSerrano",273446508512,"facebook","M","1943-10-24",71
"S000250","House","Pete","Sessions","R",0.805,18,"TX","Texas",32,NA,"petesessions",367963843082,"facebook","M","1955-03-22",59
"S000320","Senate","Richard","Shelby","R",0.623,27,"AL","Alabama",NA,NA,"RichardShelby",50850514797,"facebook","M","1934-05-06",80
"S000344","House","Brad","Sherman","D",-0.373,18,"CA","California",30,NA,"63158229861",63158229861,"facebook","M","1954-10-24",60
"S000364","House","John","Shimkus","R",0.634,18,"IL","Illinois",15,NA,"repshimkus",123916254317516,"facebook","M","1958-02-21",56
"S000480","House","Louise","Slaughter","D",-0.563,28,"NY","New York",25,NA,"RepLouiseSlaughter",82424647700,"facebook","F","1929-08-14",85
"S000510","House","Adam","Smith","D",-0.296,18,"WA","Washington",9,NA,"RepAdamSmith",288586617834523,"facebook","M","1965-06-15",49
"S000522","House","Christopher","Smith","R",0.398,34,"NJ","New Jersey",4,NA,"RepChrisSmith",371621772908416,"facebook","M","1953-03-04",61
"S000583","House","Lamar","Smith","R",0.601,28,"TX","Texas",21,NA,"LamarSmithTX21",107736785195,"facebook","M","1947-11-19",67
"S001141","Senate","Jeff","Sessions","R",0.649,17,"AL","Alabama",NA,NA,"jeffsessions",23444159584,"facebook","M","1946-12-24",68
"S001145","House","Jan","Schakowsky","D",-0.595,16,"IL","Illinois",9,NA,"janschakowsky",160143957118,"facebook","F","1944-05-26",70
"S001148","House","Mike","Simpson","R",0.398,16,"ID","Idaho",2,NA,"96007744606",96007744606,"facebook","M","1950-09-08",64
"S001150","House","Adam","Schiff","D",-0.343,14,"CA","California",28,NA,"RepAdamSchiff",9086721830,"facebook","M","1960-06-22",54
"S001154","House","Bill","Shuster","R",0.533,14,"PA","Pennsylvania",9,NA,"Rep.Shuster",54386677806,"facebook","M","1961-01-10",53
"S001156","House","Linda","Sanchez","D",-0.501,12,"CA","California",38,NA,"CongresswomanLindaSanchez",110685735673141,"facebook","F","1969-01-28",45
"S001157","House","David","Scott","D",-0.377,12,"GA","Georgia",13,NA,"113303673339",113303673339,"facebook","M","1945-06-27",69
"S001165","House","Albio","Sires","D",-0.375,10,"NJ","New Jersey",8,NA,"81058818750",81058818750,"facebook","M","1951-01-26",63
"S001175","House","Jackie","Speier","D",-0.48,8,"CA","California",14,NA,"JackieSpeier",99332606976,"facebook","F","1950-05-14",64
"S001176","House","Steve","Scalise","R",0.772,8,"LA","Louisiana",1,NA,"RepSteveScalise",50936151681,"facebook","M","1965-10-06",49
"S001177","House","Gregorio &#x27;Kilili&#x27;","Sablan","I",NA,6,"MP",NA,79,NA,"153423912663",153423912663,"facebook","M","1955-01-19",59
"S001180","House","Kurt","Schrader","D",-0.257,6,"OR","Oregon",5,NA,"repschrader",94978896695,"facebook","M","1951-10-19",63
"S001181","Senate","Jeanne","Shaheen","D",-0.343,5,"NH","New Hampshire",NA,NA,"SenatorShaheen",127503767282103,"facebook","F","1947-01-28",67
"S001183","House","David","Schweikert","R",0.902,4,"AZ","Arizona",6,NA,"repdavidschweikert",150338151681908,"facebook","M","1962-03-03",52
"S001184","Senate","Tim","Scott","R",0.777,1,"SC","South Carolina",NA,NA,"SenatorTimScott",163207553711385,"facebook","M","1965-09-19",49
"S001185","House","Terri","Sewell","D",-0.31,4,"AL","Alabama",7,NA,"RepSewell",117758198297225,"facebook","F","1965-01-01",49
"S001187","House","Steve","Stivers","R",0.579,4,"OH","Ohio",15,NA,"116058275133542",116058275133542,"facebook","M","1965-03-24",49
"S001188","House","Marlin","Stutzman","R",0.959,6,"IN","Indiana",3,NA,"CongressmanMarlinStutzman",109067049164902,"facebook","M","1976-08-31",38
"S001189","House","Austin","Scott","R",0.782,4,"GA","Georgia",8,NA,"RepAustinScott",131177916946914,"facebook","M","1969-12-10",45
"S001191","House","Kyrsten","Sinema","D",-0.133,2,"AZ","Arizona",9,NA,"CongresswomanSinema",233846963416149,"facebook","F","1976-07-12",38
"S001192","House","Chris","Stewart","R",0.651,2,"UT","Utah",2,NA,"RepChrisStewart",242042855928904,"facebook","M","1960-07-15",54
"S001193","House","Eric","Swalwell","D",-0.372,2,"CA","California",15,NA,"CongressmanEricSwalwell",450130878375355,"facebook","M","1980-11-16",34
"S001194","Senate","Brian","Schatz","D",-0.506,1,"HI","Hawaii",NA,NA,"SenBrianSchatz",357806137657533,"facebook","M","1972-10-20",42
"S001195","House","Jason","Smith","R",0.829,2,"MO","Missouri",8,NA,"repjasonsmith",544741092252764,"facebook","M","1980-06-16",34
"T000193","House","Bennie","Thompson","D",-0.429,22,"MS","Mississippi",2,NA,"7259193379",7259193379,"facebook","M","1948-01-28",66
"T000238","House","William","Thornberry","R",0.754,20,"TX","Texas",13,NA,"repmacthornberry",7760165627,"facebook","M","1958-07-15",56
"T000460","House","Mike","Thompson","D",-0.422,16,"CA","California",5,NA,"RepMikeThompson",7109195747,"facebook","M","1951-01-24",63
"T000461","Senate","Patrick","Toomey","R",0.634,3,"PA","Pennsylvania",NA,NA,"senatortoomey",189274047751251,"facebook","M","1961-11-17",53
"T000462","House","Pat","Tiberi","R",0.665,14,"OH","Ohio",12,NA,"RepPatTiberi",90452932937,"facebook","M","1962-10-21",52
"T000463","House","Michael","Turner","R",0.488,12,"OH","Ohio",10,NA,"RepMikeTurner",9275036647,"facebook","M","1960-01-11",54
"T000464","Senate","Jon","Tester","D",-0.28,7,"MT","Montana",NA,NA,"senatortester",210573031664,"facebook","M","1956-08-21",58
"T000465","House","Niki","Tsongas","D",-0.414,8,"MA","Massachusetts",3,NA,"RepTsongas",131079823624873,"facebook","F","1946-04-26",68
"T000467","House","Glenn","Thompson","R",0.487,6,"PA","Pennsylvania",5,NA,"CongressmanGT",14463006747,"facebook","M","1959-07-27",55
"T000468","House","Dina","Titus","D",-0.317,2,"NV","Nevada",1,NA,"CongresswomanTitus",120660834778561,"facebook","F","1950-05-23",64
"T000469","House","Paul","Tonko","D",-0.425,6,"NY","New York",20,NA,"paul.tonko",30671144824,"facebook","M","1949-06-18",65
"T000470","House","Scott","Tipton","R",0.72,4,"CO","Colorado",3,NA,"CongressmanScottTipton",191428784201721,"facebook","M","1956-11-09",58
"T000472","House","Mark","Takano","D",-0.481,2,"CA","California",41,NA,"RepMarkTakano",262447300551014,"facebook","M","1960-12-10",54
